Date,Symbol,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Result
2025-01-21,NQH5,2025-01-21 09:54:00-05:00,21589.5,2025-01-21 12:27:00-05:00,21689.5,-800.0,Loss
2025-01-22,NQH5,2025-01-22 09:49:00-05:00,21981.75,2025-01-22 12:01:00-05:00,22081.75,800.0,Win
2025-01-23,NQH5,2025-01-23 09:49:00-05:00,21916.0,2025-01-23 15:54:00-05:00,22005.75,718.0,Win
2025-01-24,NQH5,2025-01-24 09:45:00-05:00,22052.5,2025-01-24 12:54:00-05:00,21952.5,-800.0,Loss
2025-01-27,NQH5,2025-01-27 09:47:00-05:00,21303.0,2025-01-27 10:34:00-05:00,21403.0,800.0,Win
2025-01-28,NQH5,2025-01-28 09:47:00-05:00,21172.75,2025-01-28 09:56:00-05:00,21272.75,-800.0,Loss
2025-01-29,NQH5,2025-01-29 09:45:00-05:00,21498.75,2025-01-29 13:03:00-05:00,21398.75,800.0,Win
2025-01-30,NQH5,2025-01-30 09:46:00-05:00,21668.75,2025-01-30 10:04:00-05:00,21568.75,-800.0,Loss
2025-01-31,NQH5,2025-01-31 09:52:00-05:00,21838.5,2025-01-31 10:36:00-05:00,21938.5,800.0,Win
2025-02-03,NQH5,2025-02-03 09:53:00-05:00,21177.5,2025-02-03 10:24:00-05:00,21277.5,-800.0,Loss
2025-02-04,NQH5,2025-02-04 09:50:00-05:00,21523.25,2025-02-04 10:08:00-05:00,21623.25,800.0,Win
2025-02-05,NQH5,2025-02-05 09:48:00-05:00,21588.0,2025-02-05 11:50:00-05:00,21688.0,800.0,Win
2025-02-06,NQH5,2025-02-06 09:45:00-05:00,21789.5,2025-02-06 15:54:00-05:00,21865.5,608.0,Win
2025-02-07,NQH5,2025-02-07 10:00:00-05:00,21869.75,2025-02-07 10:02:00-05:00,21769.75,800.0,Win
2025-02-10,NQH5,2025-02-10 09:45:00-05:00,21803.0,2025-02-10 15:54:00-05:00,21852.75,398.00000000000006,Win
2025-02-11,NQH5,2025-02-11 09:52:00-05:00,21796.5,2025-02-11 15:54:00-05:00,21779.5,-136.0,Loss
